id,ltable_id,ltable_city_ascii,ltable_country,rtable_id,rtable_city_ascii,rtable_country,city_ascii_sim,country_sim,is_matching
12496,165,Changchun,China,359,Anshun,China,0.444444444,1.0,0
5902,73,Hengyang,China,146,Mianyang,China,0.5,1.0,0
4484,68,Cangzhou,China,165,Changchun,China,0.555555556,1.0,0
8597,383,Taizhou,China,1348,Zhuozhou,China,0.5,1.0,0
6533,182,Zhaoqing,China,751,Zhongxiang,China,0.5,1.0,0
1318,679,Yingchuan,China,697,Hanchuan,China,0.666666667,1.0,0
402,255,Xinzhou,China,660,Dingzhou,China,0.75,1.0,0
3524,251,Jinzhou,China,983,Quzhou,China,0.571428571,1.0,0
5109,260,Chaoyang,China,1297,Changping,China,0.555555556,1.0,0
13046,625,Xiangshui,China,725,Xishan,China,0.444444444,1.0,0
12574,207,Fuzhou,China,361,Shangzhou,China,0.444444444,1.0,0
2766,96,Yulin,China,1158,Guli,China,0.6,1.0,0
4643,144,Jiujiang,China,244,Zhenjiang,China,0.555555556,1.0,0
6892,265,Shaoguan,China,566,Yangquan,China,0.5,1.0,0
3797,56,Nanjing,China,1304,Xinxing,China,0.571428571,1.0,0
13504,232,Changzhi,China,1150,Langzhong,China,0.444444444,1.0,0
3948,255,Xinzhou,China,1265,Jieshou,China,0.571428571,1.0,0
2211,660,Dingzhou,China,723,Mizhou,China,0.625,1.0,0
3752,663,Kaiyuan,China,940,Taishan,China,0.571428571,1.0,0
11545,120,Yongzhou,China,698,Gongzhuling,China,0.454545455,1.0,0
13035,594,Jiangyin,China,625,Xiangshui,China,0.444444444,1.0,0
3965,278,Daqing,China,1593,Yueqing,China,0.571428571,1.0,0
3263,162,Kunming,China,558,Fuqing,China,0.571428571,1.0,0
12363,109,Jinan,China,679,Yingchuan,China,0.444444444,1.0,0
12146,75,Zhumadian,China,996,Zhoushan,China,0.444444444,1.0,0
2447,246,Guang'an,China,1714,Ning'an,China,0.625,1.0,0
679,181,Liuzhou,China,186,Fuzhou,China,0.714285714,1.0,0
4851,521,Yucheng,China,587,Rongcheng,China,0.555555556,1.0,0
658,168,Meizhou,China,212,Wenzhou,China,0.714285714,1.0,0
8474,330,Shaoxing,China,1084,Xiangxiang,China,0.5,1.0,0
7271,547,Guyuan,China,695,Yuyao,China,0.5,1.0,0
5829,65,Shenyang,China,1007,Laiyang,China,0.5,1.0,0
13673,333,Lishui,China,1115,Guangshui,China,0.444444444,1.0,0
2114,328,Xuanzhou,China,985,Jiaozhou,China,0.625,1.0,0
5066,206,Neijiang,China,1650,Longjiang,China,0.555555556,1.0,0
13351,130,Zhangzhou,China,1990,Shuanghe,China,0.444444444,1.0,0
6272,135,Taizhou,China,971,Qingzhou,China,0.5,1.0,0
7844,142,Xiaoganzhan,China,1630,Jiaojiangcun,China,0.5,1.0,0
3492,235,Guiyang,China,931,Huilong,China,0.571428571,1.0,0
268,617,Yongcheng,China,914,Xingcheng,China,0.777777778,1.0,0
5919,73,Hengyang,China,357,Luoyang,China,0.5,1.0,0
1944,152,Chenzhou,China,188,Zhuzhou,China,0.625,1.0,0
1776,54,Quanzhou,China,238,Bazhou,China,0.625,1.0,0
2782,198,Wuhu,China,1475,Wuhai,China,0.6,1.0,0
1864,91,Jieyang,China,443,Liaoyang,China,0.625,1.0,0
4987,94,Liaocheng,China,1176,Xichang,China,0.555555556,1.0,0
1253,348,Lianshan,China,568,Huangshan,China,0.666666667,1.0,0
8559,359,Anshun,China,1773,Mishan,China,0.5,1.0,0
6874,257,Wuzhou,China,309,Gulou,China,0.5,1.0,0
2125,347,Zhuhai,China,764,Shuizhai,China,0.625,1.0,0
1056,108,Dezhou,China,178,Luzhou,China,0.666666667,1.0,0
8562,361,Shangzhou,China,1144,Shuangqiao,China,0.5,1.0,0
7773,120,Yongzhou,China,1413,Shenzhou,China,0.5,1.0,0
2509,348,Lianshan,China,1151,Qian'an,China,0.625,1.0,0
11907,3,Guangzhou,China,181,Liuzhou,China,0.444444444,1.0,0
2222,920,Luocheng,China,949,Feicheng,China,0.625,1.0,0
5219,430,Yinchuan,China,1476,Mingguang,China,0.555555556,1.0,0
8571,367,Yan'an,China,1756,Yan'an Beilu,China,0.5,1.0,0
12346,106,Zhengzhou,China,552,Gaozhou,China,0.444444444,1.0,0
12466,160,Hengshui,China,275,Zhongshan,China,0.444444444,1.0,0
6282,137,Bozhou,China,971,Qingzhou,China,0.5,1.0,0
2174,475,Sanzhou,China,975,Hengzhou,China,0.625,1.0,0
4658,165,Changchun,China,697,Hanchuan,China,0.555555556,1.0,0
6263,133,Guilin,China,447,Fuxin,China,0.5,1.0,0
4574,103,Xiangyang,China,336,Guangyuan,China,0.555555556,1.0,0
6333,146,Mianyang,China,299,Handan,China,0.5,1.0,0
3002,40,Tianjin,China,56,Nanjing,China,0.571428571,1.0,0
7520,54,Quanzhou,China,1348,Zhuozhou,China,0.5,1.0,0
4502,71,Zhanjiang,China,520,Jianguang,China,0.555555556,1.0,0
6585,192,Qingyuan,China,663,Kaiyuan,China,0.5,1.0,0
742,235,Guiyang,China,1007,Laiyang,China,0.714285714,1.0,0
1842,73,Hengyang,China,195,Deyang,China,0.625,1.0,0
1881,112,Yichun,China,990,Yangchun,China,0.625,1.0,0
539,368,Jincheng,China,1872,Hancheng,China,0.75,1.0,0
270,662,Rongcheng,China,914,Xingcheng,China,0.777777778,1.0,0
11939,16,Shenzhen,China,165,Changchun,China,0.444444444,1.0,0
7490,44,Hangzhou,China,1416,Zhenzhou,China,0.5,1.0,0
8432,318,Yanjiang,China,1817,Wanyuan,China,0.5,1.0,0
3033,51,Ganzhou,China,186,Fuzhou,China,0.571428571,1.0,0
102,196,Taiyuan,China,663,Kaiyuan,China,0.857142857,1.0,0
1237,323,Yangjiang,China,566,Yangquan,China,0.666666667,1.0,0
1247,336,Guangyuan,China,661,Lianyuan,China,0.666666667,1.0,0
6363,152,Chenzhou,China,207,Fuzhou,China,0.5,1.0,0
6237,132,Xianyang,China,235,Guiyang,China,0.5,1.0,0
7133,374,Laibin,China,611,Laiwu,China,0.5,1.0,0
6830,245,Faisalabad,Pakistan,756,Islamabad,Pakistan,0.5,1.0,0
1465,277,Weihai,China,1475,Wuhai,China,0.666666667,1.0,0
2193,551,Wenling,China,614,Jingling,China,0.625,1.0,0
13364,140,Huaihua,China,1115,Guangshui,China,0.444444444,1.0,0
588,51,Ganzhou,China,212,Wenzhou,China,0.714285714,1.0,0
3523,251,Jinzhou,China,706,Ezhou,China,0.571428571,1.0,0
3097,87,Xinyang,China,195,Deyang,China,0.571428571,1.0,0
2118,332,Huizhou,China,464,Shuozhou,China,0.625,1.0,0
11632,142,Xiaoganzhan,China,1084,Xiangxiang,China,0.454545455,1.0,0
12029,45,Foshan,China,204,Zaozhuang,China,0.444444444,1.0,0
12665,244,Zhenjiang,China,392,Qingyang,China,0.444444444,1.0,0
5694,44,Hangzhou,China,476,Changshu,China,0.5,1.0,0
2472,302,Nanping,China,1066,Qingping,China,0.625,1.0,0
7893,152,Chenzhou,China,1682,Minzhu,China,0.5,1.0,0
7447,30,Xi'an,China,1773,Mishan,China,0.5,1.0,0
945,244,Zhenjiang,China,1043,Chengxiang,China,0.7,1.0,0
2533,392,Qingyang,China,1406,Lingyuan,China,0.625,1.0,0
5492,211,Yulinshi,China,2000,Wudalianchi,China,0.545454545,1.0,0
2065,251,Jinzhou,China,328,Xuanzhou,China,0.625,1.0,0
